rank,rank_status,album_name,artist_name,sales,distribution
1,new,MAP OF THE SOUL : 7,BTS,4376975,Dreamus
2,new,BE,BTS,2692022,Dreamus
3,new,7th Mini Album `   `,seventeen,1377813,Stone Music Entertainment
4,new,NCT RESONANCE Pt. 1 - The 2nd Album,NCT,1289594,Dreamus
5,new,THE ALBUM,BLACKPINK,1244802,YG PLUS
6,new,Special Album `; [Semicolon]`,seventeen,1122850,Dreamus
7,new,Delight - The 2nd Mini Album,BAEKHYUN,971554,Dreamus
8,new,NCT #127 Neo Zone - The 2nd Album,NCT 127,836779,"Dreamus, Caroline"
9,new,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,791590,Dreamus
10,new,Skool Luv Affair Special Addition,BTS,670500,Kakao Entertainment
11,new,Reload,NCT DREAM,633593,Dreamus
12,new,MORE & MORE,TWICE,573431,Dreamus
13,new,我们家,Kim hochong,539350,Kakao Entertainment
14,new,NCT #127 Neo Zone The Final Round - The 2nd Album Repackage,NCT 127,524224,Dreamus
15,new,Oneiric Diary   幻想日記  ,IZ*ONE,515492,Stone Music Entertainment
16,new,10   - The 1st Album,EXO-SC,510297,Dreamus
17,new,Super One,SuperM,504232,Dreamus
18,new,Eyes wide open,TWICE,479885,Dreamus
19,new,minisode1 : Blue Hour,TXT,476596,Dreamus
20,new,BLOOM*IZ,IZ*ONE,465308,Stone Music Entertainment
21,new,DYE,GOT7,454293,Dreamus
22,new,IN生,Stray Kids,440625,Dreamus
23,new,One-reeler / Act IV,IZ*ONE,431498,Stone Music Entertainment
24,new,BORDER : DAY ONE,ENHYPEN,379992,Stone Music Entertainment
25,new,ZERO : FEVER Part.1,ATEEZ,379052,Stone Music Entertainment
26,new,5th MINI ALBUM [CHASE],THE BOYZ,368911,Kakao Entertainment
27,new,GO生,Stray Kids,364252,Dreamus
28,new,    : ETERNITY,TXT,358514,Dreamus
29,new,KAI - The 1st Mini Album,KAI,344246,Dreamus
30,new,Breath of Love : Last Piece,GOT7,340819,Dreamus
31,new,MAGENTA,kangdaniel,337785,Sony Music
32,new,SPECIAL EDITION [How You Like That],BLACKPINK,302377,YG PLUS
33,new,Fatal Love,MONSTA X,278765,Kakao Entertainment
34,new,    - The 1st Mini Album,SUHO  ,272698,Dreamus
35,new,CYAN,kangdaniel,266176,Sony Music
36,new,FANTASIA X,MONSTA X,264285,Kakao Entertainment
37,new,The Classic Album I - My Favorite Arias,kimhochong,248480,Warner Music
38,new,The Classic Album II - My Favorite Songs,kimhochong,248466,Warner Music
39,new,THE FIRST STEP : CHAPTER ONE,TREASURE        ,247983,YG PLUS
40,new,THE FIRST STEP : CHAPTER TWO,TREASURE        ,239326,YG PLUS
41,new,Monster - The 1st Mini Album,irene&seulgi  ,232498,Dreamus
42,new,THE FIRST STEP : CHAPTER THREE,TREASURE        ,232134,YG PLUS
43,new,BAD BLOOD - The 4th Mini Album,SUPER JUNIOR-D&E,226393,Dreamus
44,new,Not Shy,ITZY       ,216151,Dreamus
45,new,MAP OF THE SOUL : PERSONA,BTS,197536,Dreamus
